round_epochs,val_loss,val_acc,loss,acc,first_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.449153252,0.847901736,0.043860279,0.976571884,60,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.449060541,0.847833806,0.044072788,0.976439112,50,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.4482281,0.847846157,0.044085318,0.976408234,60,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.449315127,0.847697946,0.044196632,0.976359603,30,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.448457733,0.847932613,0.044003881,0.976334129,60,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.323455096,0.847688683,0.044138547,0.976273918,40,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.446757021,0.847790578,0.044105128,0.976229918,40,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f7f7d57f620>
30,2.447176935,0.847941877,0.04438016,0.976199041,30,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f7f7d57f620>
30,2.433669317,0.847917175,0.044368059,0.976176655,30,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,2.441291705,0.847818368,0.044423704,0.976115672,40,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,2.448219993,0.847688683,0.044598534,0.976079392,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f7f7d57f620>
30,2.446525756,0.847988193,0.045001374,0.976022269,40,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7fdf5b062d08>
30,2.447391266,0.847880122,0.044561972,0.975992935,50,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,2.219222915,0.84774735,0.04425377,0.975979812,40,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f7f7d57f620>
30,2.423815458,0.84770721,0.044258681,0.975955883,50,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f7f7d57f620>
30,2.450689255,0.847333595,0.045228557,0.975809988,60,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7fdf5b062d08>
30,2.447611208,0.847920263,0.044609468,0.975796093,50,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f7f7d57f620>
30,2.450650366,0.847206998,0.045227299,0.975790689,60,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7fdf5b062d08>
30,2.44869596,0.847416963,0.045544802,0.975702689,50,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f7f7d57f620>
30,2.449749292,0.847240963,0.045647445,0.975689566,60,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7fdf5b062d08>
30,2.451234017,0.846966155,0.046368486,0.975639391,40,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7fdf5b062d08>
30,2.452459726,0.846703699,0.04682737,0.975434057,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f7f7d57f620>
30,2.44076557,0.848053035,0.044898565,0.97535532,50,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,2.447138357,0.848003631,0.046447975,0.97524725,30,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,1.628661896,0.846370224,0.048855187,0.974963179,50,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7fdf5b062d08>
30,2.446336396,0.848062298,0.046222966,0.974805705,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,1.565028976,0.845974996,0.04926485,0.974790266,40,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f7f7d57f620>
30,1.670746427,0.846228189,0.050648769,0.974747038,30,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f7f7d57f620>
30,2.446975383,0.848096263,0.04702721,0.974726196,50,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7fdf5b062d08>
30,2.447117921,0.848015982,0.04802323,0.974274616,50,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f7f7d57f620>
30,2.489332408,0.84542538,0.255725445,0.96112245,50,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7fdf5b062d08>
30,2.455563097,0.84765163,0.185584966,0.961083081,60,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7fdf5b062d08>
30,2.483584964,0.845650784,0.246036486,0.957128477,40,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7f7f7d57f620>
30,2.487068936,0.8456971,0.339974107,0.952099344,30,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7fdf5b062d08>
30,2.488196594,0.845622995,0.550059029,0.949222356,40,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7f7f7d57f620>
30,2.487160403,0.845690925,0.820472288,0.941523113,50,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7fdf5b062d08>
30,2.489295827,0.845555065,1.379308569,0.893278176,30,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7f7f7d57f620>
30,2.49212685,0.845335836,2.529471882,0.843056323,40,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7f7f7d57f620>
30,2.509542627,0.844267483,3.251738348,0.795069211,50,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function elu at 0x7fdf5b062d08>
30,2.445852543,0.848040684,0.042818012,0.977539886,60,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x7f667712dd08>
