round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,3.746093278,0.850948095,0.042595501,0.97780776,60,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002069ABE51F8>
30,2.447723172,0.847877034,0.04294909,0.977310622,70,30,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.446404227,0.847982017,0.042875687,0.977271254,50,35,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.441932384,0.848080824,0.042992298,0.977226482,60,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,6.353614207,0.850925148,0.043043219,0.97719425,50,35,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002069ABE51F8>
30,2.423406987,0.847839982,0.043255377,0.977025007,60,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.446571975,0.847929526,0.043422414,0.976988727,70,30,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.327051302,0.847886298,0.043206132,0.976962481,60,35,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,5.004396505,0.850885332,0.043475245,0.9768854,60,15,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002069ABE51F8>
30,2.446333089,0.848040684,0.044325713,0.976879112,70,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.445175442,0.848077737,0.043352864,0.976794972,50,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.447366037,0.847877034,0.043524111,0.976714691,60,35,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.449390323,0.847586788,0.0437606,0.976684586,50,30,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,2.445798703,0.848102438,0.043555105,0.976683814,70,30,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.44610383,0.848034508,0.044321444,0.976582691,60,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f77eb3e9ea0>
30,2.4798569,0.845814434,0.053235999,0.976135743,50,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,6.6884694,0.850839376,0.047304679,0.9760132,60,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002069ABE51F8>
30,1.981483262,0.847481806,0.044628619,0.975901847,70,35,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,2.01726591,0.847370647,0.045392606,0.975875602,60,35,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,2.019575657,0.847139068,0.044836963,0.975857075,50,30,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,2.120553193,0.847305805,0.045779816,0.975840093,60,30,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f77eb3e9ea0>
30,4.549613072,0.850358665,0.048646342,0.97529745,50,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x000002069ABE51F8>
30,4.945936992,0.850935876,0.047360195,0.9751604,60,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002069ABE51F8>
30,2.448908323,0.848003631,0.047542684,0.97497553,50,20,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,14.4341138,0.850346446,0.058948548,0.9699993,50,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002069ABE51F8>
30,2.487622844,0.845626083,0.073576793,0.968563868,60,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,2.487486522,0.845660048,0.084319848,0.968241973,60,35,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,2.485270946,0.845610644,0.084753829,0.967893832,60,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,2.455453847,0.847596051,0.099692317,0.96724155,60,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,2.455577526,0.847568262,0.082870806,0.967114953,60,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,2.485426589,0.845798995,0.098807827,0.966332215,60,30,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,23.95034478,0.850253046,0.065454652,0.96470964,70,15,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002069ABE51F8>
