round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.447415272,0.847870859,0.043618695,0.976727814,60,40,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.425810368,0.848099351,0.043513705,0.976651393,70,30,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.440311033,0.847809104,0.043458239,0.976627463,70,30,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.4464669,0.847985105,0.043656874,0.976561077,50,35,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446848521,0.84795114,0.044388812,0.976521708,60,30,20,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.447481416,0.847741175,0.044906507,0.976505498,60,40,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.430898067,0.847889385,0.044120777,0.976503182,70,40,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.447635523,0.847741175,0.043668593,0.97650241,70,40,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445614426,0.848145667,0.044414733,0.976500866,70,35,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.439488367,0.847731911,0.043682256,0.976465357,70,40,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.419611938,0.84785542,0.044121385,0.976456866,60,35,25,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446514248,0.847948052,0.043742415,0.976412094,60,30,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446317662,0.848012894,0.043545255,0.976398971,70,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445937298,0.848074649,0.043824452,0.976393568,50,40,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.44555808,0.848130228,0.043915608,0.976357287,50,35,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446749186,0.847994368,0.043922568,0.976351883,70,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445896067,0.848071561,0.043983754,0.976321006,70,35,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446109957,0.84801907,0.043840362,0.976297076,70,40,25,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446312388,0.848077737,0.044832375,0.976287041,60,40,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446298509,0.847818368,0.04389733,0.976255392,60,40,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.449097785,0.847741175,0.043972666,0.976156585,60,30,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.443351546,0.847827631,0.043949023,0.976153497,70,30,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446678273,0.847710297,0.044088072,0.976101006,70,40,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.149208813,0.847528121,0.044360752,0.975971321,70,40,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.018686143,0.84736756,0.044571972,0.975941988,60,30,25,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
