round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.445193117,0.848182719,0.041931081,0.97780543,70,50,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445730884,0.848074649,0.041923126,0.97768964,60,50,35,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445853178,0.848090087,0.042099049,0.977676518,70,40,30,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.264572326,0.848053035,0.04235552,0.977661079,70,50,30,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446348868,0.847960403,0.042646689,0.977659535,60,50,30,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445744717,0.848136403,0.042556652,0.977655675,70,50,30,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.441194214,0.847988193,0.042302909,0.977651816,60,50,35,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446442892,0.847982017,0.042259599,0.977650272,70,50,30,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446121915,0.848049947,0.042753315,0.977613991,60,50,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.442405523,0.848015982,0.042459088,0.977611675,70,50,35,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.364660765,0.848074649,0.043179659,0.977580026,70,50,30,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.411513594,0.847889385,0.042612079,0.977501289,60,40,35,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.447271267,0.847988193,0.043509017,0.977458061,70,50,30,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446783201,0.847827631,0.042951476,0.977362341,60,40,30,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.370569033,0.848009807,0.042777582,0.977095253,70,50,35,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.415523067,0.848028333,0.042869169,0.977075183,70,40,35,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
