round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.516625881,0.782469837,0.002453522,0.999118859,100,40,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.357829785,0.787704045,0.004059355,0.998737825,60,40,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.781022502,0.790188077,0.002860219,0.998983909,100,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.180125159,0.772489354,0.01562062,0.995983266,60,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.66828248,0.799636267,0.00542991,0.998436173,80,40,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,14.38717311,0.107389993,14.6188475,0.092829416,60,40,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.18551913,0.785707949,0.004187572,0.998745763,60,40,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.279517573,0.766678495,0.007695415,0.997896375,80,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,2.078445887,0.803539744,0.006615148,0.998332976,60,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.346974393,0.787925834,0.007635317,0.99795988,80,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.661251784,0.799370121,0.002738304,0.999031539,80,40,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.436737934,0.79976934,0.003028951,0.99893628,60,30,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.057480512,0.776658978,0.0126821,0.996610385,80,30,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,10.78591463,0.33081973,10.1956842,0.366300715,100,50,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.28038178,0.792893896,0.012449246,0.996554817,80,50,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,5.704439026,0.646069908,2.182933579,0.864185183,100,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.486625443,0.796664301,0.002720245,0.9990236,100,30,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.359961265,0.783090845,0.003199062,0.999063291,100,50,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.152511416,0.805003549,0.003512384,0.998872774,100,40,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.189436537,0.753770405,0.005893599,0.998190088,100,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.543408539,0.805535841,0.002741859,0.999039477,100,50,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.174387918,0.430801987,6.607329734,0.588308606,80,30,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,0.949479636,0.804648687,0.006988934,0.997951942,80,40,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.398526515,0.790587296,0.004051223,0.99880133,80,20,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.17510288,0.43075763,5.187722024,0.67773253,80,40,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.061328149,0.778477644,0.015609579,0.995530788,60,40,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.175105244,0.43075763,7.493532138,0.534582807,100,50,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.109548446,0.798438609,0.003603637,0.998817207,100,50,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,8.102660445,0.49729418,2.841956901,0.823208148,60,30,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,3.95724669,0.73496274,0.456357059,0.964928993,80,30,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.601476735,0.804515614,0.002836254,0.998944218,100,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.70395985,0.808108588,0.002392207,0.999079168,100,40,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.633044521,0.812721789,0.003988524,0.998690196,100,40,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.481849024,0.8125,0.002421931,0.99915855,80,50,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.175105244,0.43075763,7.490297246,0.534582807,100,50,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.070810772,0.795377928,0.003448409,0.998872774,80,50,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.880169639,0.806822214,0.006204824,0.998245656,80,40,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.166631923,0.795244855,0.010649427,0.997134307,100,30,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.925410304,0.807753726,0.008540993,0.998205965,60,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,14.38717816,0.107389993,14.58939474,0.093893136,80,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,2.001971723,0.806600426,0.005822309,0.998372667,60,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.101183621,0.435326473,7.058424088,0.562080763,80,50,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.866597937,0.81422995,0.021937174,0.995848317,100,20,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,5.079802573,0.684838538,2.253050595,0.860216078,60,30,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.106166074,0.794135912,0.011640328,0.996697705,100,40,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.004322947,0.78047374,0.011379814,0.996967604,100,30,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,10.78591139,0.33081973,7.17296827,0.554372762,60,30,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.317433659,0.789877573,0.014107523,0.995975328,60,50,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,10.7859114,0.33081973,10.23988425,0.364578124,100,50,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.813041636,0.808685238,0.007268335,0.998166274,80,50,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.470549184,0.812899219,0.002831382,0.998975971,60,50,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,0.868755243,0.787171753,0.005480914,0.998340914,100,40,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.517740603,0.808773953,0.002747178,0.9990236,100,40,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,7.871012829,0.511666075,2.952418797,0.816825828,100,50,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.299217784,0.770005323,0.013747239,0.996435744,60,30,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.17510288,0.43075763,7.499503858,0.534582807,80,50,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.184437095,0.806467353,0.006704642,0.997999571,80,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.834196201,0.792672108,0.009148136,0.998015448,100,50,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.723059813,0.797019163,0.002667715,0.999087106,60,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,4.280084015,0.71912704,0.294486222,0.966508696,60,30,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.386732815,0.790276792,0.003987428,0.99880133,80,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.587327017,0.794845635,0.002595494,0.999039477,80,50,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.827640782,0.812677431,0.003239283,0.998888651,80,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.460407859,0.799103974,0.004128459,0.998690196,60,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.480044621,0.810725692,0.002694221,0.999007724,80,20,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,2.007833772,0.785841022,0.009111269,0.998063077,80,40,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.232203312,0.771424769,0.004861533,0.99853937,60,50,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.792971879,0.801854152,0.003643187,0.998729887,60,50,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.801213107,0.798527324,0.006068167,0.998388544,100,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.669415398,0.805269695,0.002833475,0.998991847,80,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.47153905,0.795377928,0.003587303,0.99880133,60,30,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.822704381,0.800212917,0.009266752,0.998086892,100,40,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.180437839,0.787837119,0.008194783,0.997697919,60,40,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.791401761,0.801854152,0.002575181,0.999055353,80,50,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.373901713,0.813830731,0.002760856,0.999015662,100,40,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.17510288,0.43075763,5.219507707,0.675525708,60,40,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.137206333,0.789478353,0.006815807,0.998063077,60,50,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.766413804,0.800168559,0.006251375,0.998364729,60,30,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,10.78591139,0.33081973,10.235617,0.364578124,80,40,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.167130472,0.753814762,0.007428319,0.997904313,60,50,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.147175719,0.792849539,0.005688089,0.998205965,100,20,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.049804855,0.757230305,0.01245571,0.996515126,80,40,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,0.973184517,0.775505678,0.012819162,0.996681829,100,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.16700483,0.780562456,0.004159331,0.998674319,60,30,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.711539541,0.813298439,0.006120453,0.9983171,100,20,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.278077423,0.807576295,0.002799543,0.998952156,60,40,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.175105244,0.43075763,7.496097247,0.534582807,80,40,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,0.899929011,0.801366217,0.005327816,0.998412358,100,50,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,9.17510287,0.43075763,7.498163883,0.534582807,80,40,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.912811536,0.807576295,0.006156729,0.998293285,100,50,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.948959558,0.816137331,0.006339571,0.998237718,60,40,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.826508482,0.807975515,0.008767884,0.998126583,60,50,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.520073043,0.801987225,0.002635807,0.998968033,80,40,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,14.38717816,0.107389993,14.58979932,0.093885198,60,40,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,3.007854713,0.72742193,0.105061896,0.97819374,60,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.860640724,0.815161462,0.005514587,0.9983171,80,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,10.7859114,0.33081973,9.256183325,0.425305423,80,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,5.880559588,0.635157913,0.516482333,0.957022537,100,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.289447848,0.797684528,0.003770019,0.998777516,60,50,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,1.18716843,0.796309439,0.010754001,0.996832655,100,40,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f39f516f550>
50,4.492575606,0.721123137,0.616912778,0.95949132,60,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.054990422,0.804027679,0.003579199,0.998928342,100,40,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.380674847,0.822790987,0.005175524,0.998618752,100,40,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,0.897873002,0.779409155,0.016834856,0.995602232,100,20,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.011393856,0.785574876,0.020638975,0.994324181,60,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,0.941570659,0.806955287,0.006363231,0.998293285,100,30,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,0.982425269,0.795244855,0.00941808,0.9973407,80,40,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.840103658,0.799724982,0.004851776,0.998555246,80,50,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,2.076164485,0.808951384,0.01187626,0.997666167,100,50,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,0.952098247,0.785131299,0.018372879,0.995014805,80,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,2.122998518,0.811745919,0.011682056,0.997816993,100,30,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,0.951093072,0.776880767,0.008280053,0.997499464,100,40,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,4.392361874,0.72742193,0.949890905,0.939494971,80,40,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.04195085,0.795821505,0.004220333,0.998737825,80,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,8.073359302,0.499112846,4.433022055,0.724051979,100,30,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,0.972483554,0.792805181,0.018171758,0.994951299,80,50,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.453651736,0.780340667,0.003464821,0.998912465,60,20,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
