round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.518736137,0.824166075,0.008991169,0.997721734,100,60,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.586088407,0.822657913,0.008430317,0.997856684,80,40,30,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.719298891,0.822436125,0.007694158,0.997848745,80,40,30,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.671923804,0.821504613,0.009267076,0.997896375,80,50,30,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.665596705,0.820661817,0.004470665,0.99862669,80,60,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.971402315,0.818399574,0.003054256,0.998912465,80,40,30,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.958468515,0.817601136,0.032938505,0.995038619,100,60,30,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.817244424,0.816403478,0.012390366,0.997666167,80,50,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.631344642,0.816314762,0.022746836,0.995935637,80,40,20,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.016805601,0.816226047,0.003899612,0.99880133,75,40,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.611115787,0.816004258,0.009426727,0.997816993,80,50,30,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.672875184,0.815959901,0.018108523,0.996785025,100,40,20,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.609506525,0.815915543,0.00892007,0.997713796,100,40,30,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.923209142,0.815738112,0.016274261,0.997039048,80,40,30,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,2.080113044,0.815693754,0.03490388,0.994006652,100,40,30,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
