round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.148867052,0.787526615,0.0050853,0.998459987,75,60,30,15,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,8.115529744,0.496495742,2.971862211,0.815198495,90,60,30,15,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.241482398,0.795111781,0.003056682,0.998928342,90,60,40,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.994777511,0.813298439,0.01954221,0.995975328,75,60,40,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.112434485,0.770715046,0.004838097,0.998475864,80,50,30,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.05787535,0.788679915,0.003870654,0.998777516,80,60,30,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.536786161,0.799103974,0.004706999,0.998499679,80,50,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.829929085,0.819730305,0.018197823,0.996300795,80,60,40,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510288,0.43075763,7.455421589,0.537162725,100,50,40,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.038603543,0.785974095,0.004460691,0.99862669,80,50,30,15,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.766022692,0.812455642,0.002916299,0.9990236,100,50,40,15,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.573807845,0.798704755,0.002993784,0.998975971,100,50,30,15,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
