round_epochs,val_loss,val_acc,loss,acc,hidden_layer,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.989043044,0.8113467,0.005716981,0.998499679,1,80,0,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.805426919,0.810015969,0.006095694,0.998483802,1,40,0,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.945841967,0.803096167,0.006048907,0.99840442,1,100,0,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.312355221,0.801011356,0.005096523,0.998475864,1,60,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.371393227,0.800079844,0.005504672,0.998356791,1,40,0,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.041960439,0.797995032,0.006252456,0.998547308,1,100,0,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.391199561,0.797551455,0.004811869,0.998531431,1,80,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.277773183,0.796841732,0.005304957,0.998412358,1,60,0,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.914250227,0.796442512,0.007596274,0.998372667,1,60,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.395639168,0.793647977,0.00472172,0.998571122,1,100,0,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.473537927,0.793160043,0.00444324,0.998642566,1,80,0,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.019098502,0.790853442,0.009932924,0.99725338,1,100,0,0,0,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.056897624,0.782647268,0.019612891,0.994808411,1,40,0,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,3.215556701,0.78047374,0.112112634,0.991791892,1,20,0,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.415860418,0.780207594,0.008402739,0.99778524,1,20,0,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.061289364,0.779009936,0.028162014,0.992450763,1,20,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.017615654,0.775860539,0.015400564,0.995284704,1,80,0,0,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.027342157,0.774219304,0.016028531,0.995689553,1,60,0,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.983802783,0.774174947,0.013596366,0.996173783,1,100,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,3.706206192,0.769650461,0.199098983,0.987640209,1,40,0,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.131556556,0.766323634,0.023615204,0.99339541,1,20,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,3.278986039,0.766057488,0.086532532,0.985488954,1,20,0,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.151299916,0.764992903,0.029965202,0.992577775,1,20,0,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.895312753,0.763839603,0.03199061,0.990331261,1,100,0,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,1.034569822,0.760911994,0.033020896,0.99051384,1,100,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,0.979089456,0.759536906,0.01336022,0.995713367,1,60,0,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,0.964142637,0.759492548,0.033218084,0.990767863,1,80,0,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,3.809353253,0.755677786,0.148070291,0.983464711,1,40,0,0,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,0.916169099,0.754568843,0.010242895,0.996991419,1,80,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.027594663,0.752439674,0.016932025,0.995602232,1,40,0,0,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.054788886,0.751197658,0.046912359,0.984679257,1,80,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,0.88533952,0.748757984,0.045226443,0.984695133,1,80,0,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,4.110825655,0.743479418,0.351731393,0.978177864,1,40,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,0.967594027,0.742947126,0.053964676,0.979844887,1,40,0,0,0,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,4.163263036,0.741660752,0.366573455,0.977257031,1,80,0,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.1916581,0.739842087,0.346357543,0.978511268,1,80,0,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.207039154,0.738954933,0.398432708,0.975280417,1,100,0,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.209321818,0.738644429,0.408540663,0.974653299,1,60,0,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,4.233246462,0.737313698,0.388196803,0.975915474,1,80,0,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,ELU
50,1.159549542,0.732478708,0.094739044,0.970065014,1,20,0,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,1.756727303,0.706041519,0.102948681,0.968961603,1,20,0,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,1.00E-05,ELU
50,1.926765513,0.827803407,0.00559661,0.998293285,2,100,50,0,0,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.710626597,0.821815117,0.005584938,0.998285347,2,100,40,0,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.026670566,0.821061036,0.005777105,0.998293285,2,100,50,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.439055276,0.813520227,0.015915962,0.997634414,2,60,40,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.740682435,0.812899219,0.01177854,0.997610599,2,80,20,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.838474446,0.812721789,0.005331147,0.998467926,2,100,40,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.758808256,0.810858765,0.002781804,0.99907123,2,80,50,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.411146471,0.810415188,0.003115841,0.998920404,2,100,50,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.134802233,0.810060326,0.011958431,0.997602661,2,100,30,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.853476559,0.809882896,0.004890878,0.99849174,2,80,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.693290837,0.809439319,0.005072288,0.998388544,2,80,40,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
